index,word,fixation_order,samples_duration_in_fixations,total_fixations,total_duration_samples_in_fixation,count_letters,count_fixation_normalized
1,Partial,"[128, 159, 161, 168, 186, 203, 394, 2161, 2206, 2208, 2220, 2247, 2598]","{128: 37, 159: 11, 161: 16, 168: 20, 186: 20, 203: 10, 394: 7, 2161: 28, 2206: 1, 2208: 2, 2220: 44, 2247: 7, 2598: 6}",13,209,7,29.857142857142858
2,Ileal,"[7, 43, 127, 129, 131, 137, 158, 160, 165, 167, 169, 185, 187, 202, 204, 225, 227, 393, 395, 1887, 1889, 1903, 2160, 2162, 2164, 2207, 2219, 2597, 2693]","{7: 15, 43: 1, 127: 14, 129: 13, 131: 54, 137: 1, 158: 22, 160: 46, 165: 2, 167: 52, 169: 25, 185: 3, 187: 51, 202: 22, 204: 19, 225: 1, 227: 10, 393: 1, 395: 9, 1887: 1, 1889: 12, 1903: 31, 2160: 3, 2162: 2, 2164: 4, 2207: 3, 2219: 5, 2597: 11, 2693: 2}",29,435,5,87.0
3,Bypass,"[6, 8, 42, 44, 118, 126, 130, 132, 134, 138, 147, 157, 164, 166, 170, 184, 188, 201, 224, 226, 262, 309, 392, 396, 404, 1886, 1888, 1890, 1902, 1934, 1936, 1942, 1983, 1986, 2083, 2124, 2145, 2159, 2163, 2205, 2209, 2218, 2244, 2246, 2692]","{6: 1, 8: 10, 42: 1, 44: 4, 118: 2, 126: 9, 130: 1, 132: 50, 134: 8, 138: 1, 147: 1, 157: 6, 164: 2, 166: 6, 170: 71, 184: 1, 188: 23, 201: 31, 224: 27, 226: 11, 262: 5, 309: 14, 392: 20, 396: 1, 404: 19, 1886: 10, 1888: 1, 1890: 4, 1902: 11, 1934: 3, 1936: 41, 1942: 7, 1983: 20, 1986: 2, 2083: 24, 2124: 12, 2145: 17, 2159: 7, 2163: 2, 2205: 2, 2209: 1, 2218: 1, 2244: 5, 2246: 9, 2692: 7}",45,511,6,85.16666666666667
4,in,"[5, 9, 34, 119, 123, 125, 133, 135, 156, 171, 183, 189, 195, 200, 223, 261, 310, 376, 391, 397, 403, 1891, 1893, 1901, 1933, 1935, 1937, 1941, 1980, 1982, 1984, 1989, 2080, 2082, 2084, 2087, 2144, 2156, 2158, 2243, 2245, 2691]","{5: 1, 9: 1, 34: 3, 119: 4, 123: 1, 125: 1, 133: 4, 135: 8, 156: 1, 171: 21, 183: 1, 189: 9, 195: 3, 200: 1, 223: 2, 261: 3, 310: 1, 376: 5, 391: 1, 397: 1, 403: 1, 1891: 2, 1893: 6, 1901: 4, 1933: 2, 1935: 1, 1937: 1, 1941: 1, 1980: 2, 1982: 9, 1984: 6, 1989: 2, 2080: 1, 2082: 5, 2084: 1, 2087: 1, 2144: 3, 2156: 1, 2158: 4, 2243: 1, 2245: 4, 2691: 3}",42,133,2,66.5
5,Heart,"[10, 29, 33, 35, 41, 45, 120, 122, 124, 136, 139, 141, 143, 145, 155, 163, 172, 190, 192, 194, 196, 222, 260, 308, 311, 377, 1885, 1892, 1894, 1900, 1932, 1938, 1940, 1975, 1979, 1981, 1985, 1988, 1990, 2030, 2079, 2081, 2125, 2143, 2146, 2157, 2210, 2242, 2596, 2690]","{10: 1, 29: 1, 33: 15, 35: 4, 41: 1, 45: 1, 120: 14, 122: 50, 124: 3, 136: 12, 139: 31, 141: 2, 143: 2, 145: 23, 155: 1, 163: 1, 172: 57, 190: 1, 192: 4, 194: 2, 196: 14, 222: 1, 260: 7, 308: 2, 311: 1, 377: 4, 1885: 6, 1892: 5, 1894: 5, 1900: 3, 1932: 1, 1938: 4, 1940: 3, 1975: 9, 1979: 10, 1981: 1, 1985: 9, 1988: 7, 1990: 19, 2030: 4, 2079: 1, 2081: 3, 2125: 2, 2143: 20, 2146: 1, 2157: 2, 2210: 1, 2242: 3, 2596: 1, 2690: 3}",50,378,5,75.6
6,Attack,"[4, 11, 32, 36, 40, 46, 58, 121, 140, 142, 144, 146, 148, 154, 162, 173, 182, 191, 193, 197, 199, 221, 259, 312, 375, 378, 1884, 1895, 1899, 1927, 1931, 1939, 1974, 1976, 1978, 1987, 1991, 2021, 2029, 2031, 2078, 2085, 2096, 2103, 2123, 2126, 2142, 2147, 2204, 2211, 2217, 2241, 2595, 2689, 2717]","{4: 1, 11: 1, 32: 3, 36: 1, 40: 1, 46: 1, 58: 1, 121: 1, 140: 1, 142: 46, 144: 1, 146: 19, 148: 10, 154: 1, 162: 1, 173: 36, 182: 1, 191: 2, 193: 36, 197: 10, 199: 1, 221: 3, 259: 2, 312: 1, 375: 1, 378: 7, 1884: 4, 1895: 1, 1899: 5, 1927: 22, 1931: 21, 1939: 19, 1974: 2, 1976: 18, 1978: 3, 1987: 3, 1991: 9, 2021: 1, 2029: 5, 2031: 1, 2078: 1, 2085: 3, 2096: 14, 2103: 1, 2123: 1, 2126: 1, 2142: 2, 2147: 1, 2204: 1, 2211: 1, 2217: 1, 2241: 9, 2595: 1, 2689: 5, 2717: 7}",55,352,6,58.666666666666664
7,Patients:,"[3, 12, 31, 37, 39, 64, 149, 153, 174, 198, 210, 220, 239, 258, 291, 307, 313, 320, 322, 374, 379, 386, 388, 1883, 1896, 1898, 1924, 1926, 1928, 1930, 1955, 1959, 1973, 1977, 1992, 1994, 2005, 2015, 2028, 2032, 2077, 2086, 2091, 2095, 2097, 2104, 2114, 2122, 2127, 2135, 2203, 2212, 2216, 2232, 2240, 2688, 2710, 2716]","{3: 1, 12: 3, 31: 6, 37: 2, 39: 4, 64: 1, 149: 73, 153: 2, 174: 33, 198: 21, 210: 5, 220: 18, 239: 7, 258: 1, 291: 51, 307: 1, 313: 1, 320: 20, 322: 25, 374: 1, 379: 8, 386: 3, 388: 24, 1883: 6, 1896: 4, 1898: 2, 1924: 1, 1926: 2, 1928: 9, 1930: 1, 1955: 5, 1959: 30, 1973: 31, 1977: 7, 1992: 28, 1994: 17, 2005: 1, 2015: 1, 2028: 1, 2032: 4, 2077: 27, 2086: 31, 2091: 23, 2095: 9, 2097: 3, 2104: 1, 2114: 1, 2122: 1, 2127: 1, 2135: 1, 2203: 3, 2212: 1, 2216: 1, 2232: 19, 2240: 6, 2688: 1, 2710: 9, 2716: 1}",58,600,9,66.66666666666667
8,Intestinal,"[2, 13, 30, 38, 47, 59, 61, 63, 150, 152, 175, 181, 211, 215, 217, 219, 240, 245, 247, 254, 282, 284, 286, 288, 290, 306, 319, 321, 368, 380, 385, 387, 390, 398, 1897, 1925, 1929, 1956, 1958, 1960, 1964, 1970, 1972, 1993, 1995, 2009, 2011, 2013, 2016, 2020, 2022, 2027, 2033, 2088, 2090, 2092, 2094, 2098, 2128, 2141, 2202, 2215, 2231, 2233, 2239, 2687, 2711, 2715]","{2: 3, 13: 2, 30: 1, 38: 9, 47: 1, 59: 1, 61: 1, 63: 1, 150: 19, 152: 3, 175: 92, 181: 2, 211: 34, 215: 29, 217: 9, 219: 2, 240: 59, 245: 1, 247: 1, 254: 6, 282: 38, 284: 47, 286: 2, 288: 16, 290: 26, 306: 26, 319: 20, 321: 3, 368: 1, 380: 5, 385: 1, 387: 1, 390: 1, 398: 1, 1897: 26, 1925: 7, 1929: 25, 1956: 37, 1958: 21, 1960: 15, 1964: 1, 1970: 1, 1972: 6, 1993: 5, 1995: 5, 2009: 13, 2011: 32, 2013: 7, 2016: 1, 2020: 1, 2022: 1, 2027: 3, 2033: 1, 2088: 33, 2090: 10, 2092: 3, 2094: 7, 2098: 2, 2128: 1, 2141: 2, 2202: 13, 2215: 1, 2231: 2, 2233: 3, 2239: 2, 2687: 7, 2711: 2, 2715: 19}",68,779,10,77.9
9,Procedure,"[1, 48, 50, 55, 65, 151, 176, 180, 212, 214, 216, 218, 241, 253, 255, 283, 285, 287, 289, 297, 305, 314, 318, 369, 373, 381, 384, 389, 399, 1957, 1961, 1963, 1965, 1969, 1971, 1996, 1998, 2002, 2008, 2010, 2012, 2014, 2026, 2089, 2093, 2099, 2101, 2108, 2118, 2129, 2131, 2136, 2140, 2148, 2152, 2155, 2199, 2213, 2230, 2234, 2238, 2594, 2686, 2712]","{1: 9, 48: 1, 50: 13, 55: 17, 65: 1, 151: 9, 176: 61, 180: 1, 212: 42, 214: 30, 216: 21, 218: 60, 241: 67, 253: 20, 255: 2, 283: 57, 285: 1, 287: 2, 289: 30, 297: 5, 305: 2, 314: 1, 318: 1, 369: 1, 373: 1, 381: 3, 384: 1, 389: 1, 399: 1, 1957: 1, 1961: 24, 1963: 11, 1965: 23, 1969: 2, 1971: 19, 1996: 66, 1998: 1, 2002: 67, 2008: 41, 2010: 7, 2012: 5, 2014: 21, 2026: 11, 2089: 6, 2093: 11, 2099: 30, 2101: 5, 2108: 35, 2118: 22, 2129: 5, 2131: 8, 2136: 1, 2140: 25, 2148: 2, 2152: 45, 2155: 1, 2199: 18, 2213: 1, 2230: 20, 2234: 1, 2238: 21, 2594: 1, 2686: 10, 2712: 1}",64,1029,9,114.33333333333333
10,to,"[49, 51, 177, 213, 242, 250, 298, 301, 303, 315, 372, 1962, 1997, 1999, 2001, 2007, 2025, 2100, 2102, 2105, 2107, 2110, 2112, 2117, 2130, 2132, 2139, 2151, 2229, 2235]","{49: 1, 51: 1, 177: 1, 213: 1, 242: 1, 250: 2, 298: 9, 301: 8, 303: 14, 315: 1, 372: 1, 1962: 50, 1997: 1, 1999: 24, 2001: 9, 2007: 10, 2025: 1, 2100: 1, 2102: 8, 2105: 1, 2107: 7, 2110: 2, 2112: 9, 2117: 8, 2130: 1, 2132: 11, 2139: 1, 2151: 3, 2229: 1, 2235: 1}",30,189,2,94.5
