index,word,fixation_order,samples_duration_in_fixations,total_fixations,total_duration_samples_in_fixation,count_letters,count_fixation_normalized
1,Title,[148],{148: 171},1,171,5,34.2
2,World,[],{},0,0,5,0.0
3,leaders,"[147, 149]","{147: 60, 149: 11}",2,71,7,10.142857142857142
4,from,[150],{150: 6},1,6,4,1.5
5,President,[151],{151: 5},1,5,9,0.5555555555555556
6,Bush,[],{},0,0,4,0.0
7,to,[],{},0,0,2,0.0
8,President,[],{},0,0,9,0.0
9,Mikhail,[],{},0,0,7,0.0
10,S.,[],{},0,0,2,0.0
11,Gorbachev,[],{},0,0,9,0.0
12,today,[],{},0,0,5,0.0
13,praised,[],{},0,0,7,0.0
14,Andrei,[],{},0,0,6,0.0
15,D.,[],{},0,0,2,0.0
16,Sakharov,[],{},0,0,8,0.0
17,as,[],{},0,0,2,0.0
18,a,[],{},0,0,1,0.0
19,tremendous,[],{},0,0,10,0.0
20,force,[],{},0,0,5,0.0
21,for,[],{},0,0,3,0.0
22,freedom,[],{},0,0,7,0.0
23,who,[],{},0,0,3,0.0
24,outlived,[],{},0,0,8,0.0
25,his,[146],{146: 9},1,9,3,3.0
26,Soviet,"[117, 119, 121, 123, 125, 127, 129, 131, 133, 135, 137, 139, 141, 143, 145]","{117: 1, 119: 1, 121: 1, 123: 1, 125: 1, 127: 1, 129: 1, 131: 1, 133: 1, 135: 1, 137: 1, 139: 1, 141: 1, 143: 1, 145: 19}",15,33,6,5.5
27,persecutors,[],{},0,0,11,0.0
28,and,[152],{152: 6},1,6,3,2.0
29,saw,[],{},0,0,3,0.0
30,the,"[153, 155, 157, 159, 161]","{153: 1, 155: 1, 157: 1, 159: 1, 161: 1}",5,5,3,1.6666666666666667
31,liberty,[],{},0,0,7,0.0
32,he,[],{},0,0,2,0.0
33,championed,[],{},0,0,10,0.0
34,take,[],{},0,0,4,0.0
35,root,[],{},0,0,4,0.0
36,throughout,[],{},0,0,10,0.0
37,Eastern,[],{},0,0,7,0.0
38,Europe.,[],{},0,0,7,0.0
39,The,[],{},0,0,3,0.0
40,68-year-old,[],{},0,0,11,0.0
41,scientist,[],{},0,0,9,0.0
42,and,[],{},0,0,3,0.0
43,human,[],{},0,0,5,0.0
44,rights,[],{},0,0,6,0.0
45,activist,[],{},0,0,8,0.0
46,died,"[136, 138, 140, 142, 144]","{136: 1, 138: 1, 140: 1, 142: 1, 144: 1}",5,5,4,1.25
47,Thursday,"[74, 76, 78, 80, 82, 84, 86, 88, 90, 92, 94, 96, 98, 100, 102, 104, 106, 108, 110, 112, 114, 116, 118, 120, 122, 124, 126, 128, 130, 132, 134]","{74: 1, 76: 1, 78: 1, 80: 1, 82: 1, 84: 1, 86: 1, 88: 1, 90: 1, 92: 1, 94: 1, 96: 1, 98: 1, 100: 1, 102: 1, 104: 1, 106: 1, 108: 1, 110: 1, 112: 1, 114: 1, 116: 35, 118: 1, 120: 1, 122: 1, 124: 1, 126: 1, 128: 1, 130: 1, 132: 1, 134: 1}",31,65,8,8.125
48,of,[],{},0,0,2,0.0
49,an,[],{},0,0,2,0.0
50,apparent,[],{},0,0,8,0.0
51,heart,"[154, 156, 158, 160, 162]","{154: 1, 156: 1, 158: 1, 160: 1, 162: 1}",5,5,5,1.0
52,attack,"[163, 165, 167, 169, 171]","{163: 1, 165: 1, 167: 1, 169: 1, 171: 1}",5,5,6,0.8333333333333334
53,in,[],{},0,0,2,0.0
54,his,[],{},0,0,3,0.0
55,Moscow,[],{},0,0,6,0.0
56,apartment.,[],{},0,0,10,0.0
57,The,[],{},0,0,3,0.0
58,Soviet,[],{},0,0,6,0.0
59,Congress,[],{},0,0,8,0.0
60,stood,[],{},0,0,5,0.0
61,for,[],{},0,0,3,0.0
62,a,[],{},0,0,1,0.0
63,minute,[],{},0,0,6,0.0
64,of,[],{},0,0,2,0.0
65,silence,[],{},0,0,7,0.0
66,for,[],{},0,0,3,0.0
67,their,[],{},0,0,5,0.0
68,"colleague,",[],{},0,0,10,0.0
69,once,[],{},0,0,4,0.0
