index,word,fixation_order,samples_duration_in_fixations,total_fixations,total_duration_samples_in_fixation,count_letters,count_fixation_normalized
1,Prime,[],{},0,0,5,0.0
2,Minister,[],{},0,0,8,0.0
3,Margaret,[],{},0,0,8,0.0
4,Thatcher,[],{},0,0,8,0.0
5,has,[],{},0,0,3,0.0
6,weakened,[],{},0,0,8,0.0
7,her,[],{},0,0,3,0.0
8,position,[],{},0,0,8,0.0
9,and,[],{},0,0,3,0.0
10,kicked,[],{},0,0,6,0.0
11,off,[],{},0,0,3,0.0
12,the,[],{},0,0,3,0.0
13,race,[],{},0,0,4,0.0
14,to,[],{},0,0,2,0.0
15,succeed,[],{},0,0,7,0.0
16,her,[],{},0,0,3,0.0
17,by,[],{},0,0,2,0.0
18,saying,[],{},0,0,6,0.0
19,she,[],{},0,0,3,0.0
20,plans,[],{},0,0,5,0.0
21,to,[],{},0,0,2,0.0
22,step,[],{},0,0,4,0.0
23,down,[],{},0,0,4,0.0
24,after,[],{},0,0,5,0.0
25,winning,[],{},0,0,7,0.0
26,another,[],{},0,0,7,0.0
27,"term,",[],{},0,0,5,0.0
28,opposition,[],{},0,0,10,0.0
29,leaders,[],{},0,0,7,0.0
30,and,[],{},0,0,3,0.0
31,political,[],{},0,0,9,0.0
32,observers,[],{},0,0,9,0.0
33,said.,[],{},0,0,5,0.0
34,A,[],{},0,0,1,0.0
35,pro-Thatcher,[],{},0,0,12,0.0
36,newspaper,[],{},0,0,9,0.0
37,today,[],{},0,0,5,0.0
38,said,[],{},0,0,4,0.0
39,she,[],{},0,0,3,0.0
40,had,[],{},0,0,3,0.0
41,merely,[],{},0,0,6,0.0
42,stated,[],{},0,0,6,0.0
43,the,[],{},0,0,3,0.0
44,obvious,[],{},0,0,7,0.0
45,and,[],{},0,0,3,0.0
46,that,[],{},0,0,4,0.0
47,her,[],{},0,0,3,0.0
48,statements,[],{},0,0,10,0.0
49,were,[],{},0,0,4,0.0
50,no,[],{},0,0,2,0.0
51,``cause,[],{},0,0,7,0.0
52,for,[],{},0,0,3,0.0
53,astonishment.'',[],{},0,0,15,0.0
54,Mrs.,[],{},0,0,4,0.0
55,Thatcher,[],{},0,0,8,0.0
56,told,[],{},0,0,4,0.0
57,The,[],{},0,0,3,0.0
58,Sunday,[],{},0,0,6,0.0
59,Correspondent,[],{},0,0,13,0.0
60,in,[],{},0,0,2,0.0
61,an,[],{},0,0,2,0.0
62,interview,[],{},0,0,9,0.0
63,published,[],{},0,0,9,0.0
64,Sunday,[],{},0,0,6,0.0
65,that,[],{},0,0,4,0.0
66,she,[],{},0,0,3,0.0
67,hoped,[],{},0,0,5,0.0
68,to,[],{},0,0,2,0.0
69,lead,[],{},0,0,4,0.0
70,her,[],{},0,0,3,0.0
71,Conservative,[],{},0,0,12,0.0
72,Party,[],{},0,0,5,0.0
73,to,[],{},0,0,2,0.0
74,a,[],{},0,0,1,0.0
75,fourth,[],{},0,0,6,0.0
76,successive,[],{},0,0,10,0.0
77,election,[],{},0,0,8,0.0
78,but,[],{},0,0,3,0.0
79,said,[],{},0,0,4,0.0
80,it,[],{},0,0,2,0.0
81,was,[],{},0,0,3,0.0
82,unlikely,[],{},0,0,8,0.0
83,she,[],{},0,0,3,0.0
84,would,[],{},0,0,5,0.0
85,try,[],{},0,0,3,0.0
86,for,[],{},0,0,3,0.0
87,a,[],{},0,0,1,0.0
88,fifth.,[],{},0,0,6,0.0
89,``I,[],{},0,0,3,0.0
90,think,[],{},0,0,5,0.0
91,people,[],{},0,0,6,0.0
92,would,[],{},0,0,5,0.0
93,think,[],{},0,0,5,0.0
94,it,[],{},0,0,2,0.0
95,was,[],{},0,0,3,0.0
96,time,[],{},0,0,4,0.0
97,for,[],{},0,0,3,0.0
98,someone,[],{},0,0,7,0.0
99,else,[],{},0,0,4,0.0
100,to,[],{},0,0,2,0.0
101,carry,[],{},0,0,5,0.0
102,the,[],{},0,0,3,0.0
103,"torch,''",[],{},0,0,8,0.0
104,she,[],{},0,0,3,0.0
105,told,[],{},0,0,4,0.0
106,the,[],{},0,0,3,0.0
107,newspaper.,[],{},0,0,10,0.0
108,The,[],{},0,0,3,0.0
109,Sunday,[],{},0,0,6,0.0
110,Times,[],{},0,0,5,0.0
111,of,[],{},0,0,2,0.0
112,London,[],{},0,0,6,0.0
113,said,[],{},0,0,4,0.0
114,in,[],{},0,0,2,0.0
115,a,[],{},0,0,1,0.0
116,commentary:,[],{},0,0,11,0.0
117,``Mrs.,[],{},0,0,6,0.0
118,Thatcher,[],{},0,0,8,0.0
119,has,[],{},0,0,3,0.0
120,committed,[],{},0,0,9,0.0
121,a,[],{},0,0,1,0.0
122,colossal,[],{},0,0,8,0.0
123,blunder.'',[],{},0,0,10,0.0
124,``She,[],{},0,0,5,0.0
125,has,[],{},0,0,3,0.0
126,given,[],{},0,0,5,0.0
127,the,[],{},0,0,3,0.0
128,riders,[],{},0,0,6,0.0
129,for,[],{},0,0,3,0.0
130,the,[],{},0,0,3,0.0
131,Tory,[],{},0,0,4,0.0
132,succession,[],{},0,0,10,0.0
133,their,[],{},0,0,5,0.0
134,starting,[],{},0,0,8,0.0
135,orders,[],{},0,0,6,0.0
136,years,[],{},0,0,5,0.0
