index,word,fixation_order,samples_duration_in_fixations,total_fixations,total_duration_samples_in_fixation,count_letters,count_fixation_normalized
1,McDonald's,[],{},0,0,10,0.0
2,in,[],{},0,0,2,0.0
3,China,[],{},0,0,5,0.0
4,McDonald's,[],{},0,0,10,0.0
5,"hamburgers,",[],{},0,0,11,0.0
6,fries,[],{},0,0,5,0.0
7,and,[],{},0,0,3,0.0
8,golden,[],{},0,0,6,0.0
9,arches,[],{},0,0,6,0.0
10,came,[],{},0,0,4,0.0
11,to,[],{},0,0,2,0.0
12,China,[],{},0,0,5,0.0
13,on,[],{},0,0,2,0.0
14,Monday,[],{},0,0,6,0.0
15,when,[],{},0,0,4,0.0
16,the,[],{},0,0,3,0.0
17,fast-food,[],{},0,0,9,0.0
18,chain,[],{},0,0,5,0.0
19,opened,[],{},0,0,6,0.0
20,its,[],{},0,0,3,0.0
21,first,[],{},0,0,5,0.0
22,restaurant,[],{},0,0,10,0.0
23,in,[],{},0,0,2,0.0
24,a,[],{},0,0,1,0.0
25,nation,[],{},0,0,6,0.0
26,famed,[],{},0,0,5,0.0
27,for,[],{},0,0,3,0.0
28,its,[],{},0,0,3,0.0
29,distinctive,[],{},0,0,11,0.0
30,cuisine.,[],{},0,0,8,0.0
31,Hundreds,[],{},0,0,8,0.0
32,of,[],{},0,0,2,0.0
33,Chinese,[],{},0,0,7,0.0
34,waited,[],{},0,0,6,0.0
35,for,[],{},0,0,3,0.0
36,hours,[],{},0,0,5,0.0
37,outside,[],{},0,0,7,0.0
38,the,[],{},0,0,3,0.0
39,restaurant,[],{},0,0,10,0.0
40,in,[],{},0,0,2,0.0
41,"Shenzhen,",[],{},0,0,9,0.0
42,an,[],{},0,0,2,0.0
43,economic,[],{},0,0,8,0.0
44,boom,[],{},0,0,4,0.0
45,town,[],{},0,0,4,0.0
46,near,[],{},0,0,4,0.0
47,Hong,[],{},0,0,4,0.0
48,"Kong,",[],{},0,0,5,0.0
49,for,[],{},0,0,3,0.0
50,their,[],{},0,0,5,0.0
51,first,[],{},0,0,5,0.0
52,taste,[],{},0,0,5,0.0
53,of,[],{},0,0,2,0.0
54,a,[],{},0,0,1,0.0
55,McDonald's,[],{},0,0,10,0.0
56,"hamburger,",[],{},0,0,10,0.0
57,fries,[],{},0,0,5,0.0
58,or,[],{},0,0,2,0.0
59,shake.,[],{},0,0,6,0.0
60,``I,[],{},0,0,3,0.0
61,travelled,[],{},0,0,9,0.0
62,for,[],{},0,0,3,0.0
63,four,[],{},0,0,4,0.0
64,hours,[],{},0,0,5,0.0
65,from,[],{},0,0,4,0.0
66,a,[],{},0,0,1,0.0
67,village,[],{},0,0,7,0.0
68,to,[],{},0,0,2,0.0
