index,word,fixation_order,samples_duration_in_fixations,total_fixations,total_duration_samples_in_fixation,count_letters,count_fixation_normalized
1,"Title
",[],{},0,0,6,0.0
2,He's,[],{},0,0,4,0.0
3,ranked,[],{},0,0,6,0.0
4,as,[],{},0,0,2,0.0
5,the,[],{},0,0,3,0.0
6,richest,[],{},0,0,7,0.0
7,man,[],{},0,0,3,0.0
8,in,[],{},0,0,2,0.0
9,the,[],{},0,0,3,0.0
10,nation,[],{},0,0,6,0.0
11,by,[],{},0,0,2,0.0
12,a,[],{},0,0,1,0.0
13,leading,[],{},0,0,7,0.0
14,business,[],{},0,0,8,0.0
15,"magazine,",[],{},0,0,9,0.0
16,but,[],{},0,0,3,0.0
17,to,[],{},0,0,2,0.0
18,folks,[],{},0,0,5,0.0
19,in,[],{},0,0,2,0.0
20,"Bentonville,",[],{},0,0,12,0.0
21,a,[],{},0,0,1,0.0
22,town,[],{},0,0,4,0.0
23,of,[],{},0,0,2,0.0
24,about,[],{},0,0,5,0.0
25,"8,700",[],{},0,0,5,0.0
26,"people,",[],{},0,0,7,0.0
27,Sam,[],{},0,0,3,0.0
28,Walton,[],{},0,0,6,0.0
29,is,[],{},0,0,2,0.0
30,just,[],{},0,0,4,0.0
31,another,[],{},0,0,7,0.0
32,neighbor.,[],{},0,0,9,0.0
33,``He's,[],{},0,0,6,0.0
34,just,[],{},0,0,4,0.0
35,a,[],{},0,0,1,0.0
36,part,[],{},0,0,4,0.0
37,of,[],{},0,0,2,0.0
38,the,[],{},0,0,3,0.0
39,"community,''",[],{},0,0,12,0.0
40,said,[],{},0,0,4,0.0
41,Curt,[],{},0,0,4,0.0
42,"Loyd,",[],{},0,0,5,0.0
43,executive,[],{},0,0,9,0.0
44,director,[],{},0,0,8,0.0
45,of,[],{},0,0,2,0.0
46,the,[],{},0,0,3,0.0
47,Bentonville,[],{},0,0,11,0.0
48,Chamber,[],{},0,0,7,0.0
49,of,[],{},0,0,2,0.0
50,Commerce.,[],{},0,0,9,0.0
51,``He's,[],{},0,0,6,0.0
52,a,[],{},0,0,1,0.0
53,neat,[],{},0,0,4,0.0
54,person.,[],{},0,0,7,0.0
55,He,[],{},0,0,2,0.0
56,calls,[],{},0,0,5,0.0
57,Bentonville,[],{},0,0,11,0.0
